Group	macronutrient	n	mean	sd	sd_base	sd_stacked
F_18_19	CARB_kcal_pct	95	50.7521708422887	8.58126010138897	49.2478291577113	57.8290892591003
F_18_19	PROT_kcal_pct	95	14.6276013131856	4.28762904516924	34.6202278445257	38.9078568896949
F_18_19	TFAT_kcal_pct	95	34.6202278445257	7.0600477631444	0	7.0600477631444
F_20s	CARB_kcal_pct	346	48.0724798071919	8.01940350850373	51.927520192808	59.9469237013117
F_20s	PROT_kcal_pct	346	16.228447700812	4.66824679848984	35.699072491996	40.3673192904858
F_20s	TFAT_kcal_pct	346	35.699072491996	6.74067737998947	0	6.74067737998947
F_30s	CARB_kcal_pct	335	48.7521547462226	8.09419340842535	51.2478452537775	59.3420386622028
F_30s	PROT_kcal_pct	335	16.2672115268592	4.58358065387721	34.9806337269183	39.5642143807955
F_30s	TFAT_kcal_pct	335	34.9806337269183	7.11924813198054	0	7.11924813198054
F_40s	CARB_kcal_pct	383	49.3101241086417	8.10740327428142	50.6898758913583	58.7972791656397
F_40s	PROT_kcal_pct	383	16.0587962574038	4.36407343261151	34.6310796339545	38.995153066566
F_40s	TFAT_kcal_pct	383	34.6310796339545	7.1307775906964	0	7.1307775906964
F_50s	CARB_kcal_pct	347	47.7678517937302	8.17374930278105	52.2321482062698	60.4058975090509
F_50s	PROT_kcal_pct	347	16.3223839056032	4.06967789804813	35.9097643006666	39.9794421987147
F_50s	TFAT_kcal_pct	347	35.9097643006666	7.1719711080404	0	7.1719711080404
F_60s	CARB_kcal_pct	365	48.7305327607138	8.43845862828585	51.2694672392862	59.707925867572
F_60s	PROT_kcal_pct	365	16.1046191887917	3.90055533894754	35.1648480504945	39.065403389442
F_60s	TFAT_kcal_pct	365	35.1648480504945	7.87190690460211	0	7.87190690460211
F_70s_80s	CARB_kcal_pct	345	48.9147939672166	7.95612578663547	51.0852060327835	59.041331819419
F_70s_80s	PROT_kcal_pct	345	15.6865094038379	3.78046277253786	35.3986966289456	39.1791594014835
F_70s_80s	TFAT_kcal_pct	345	35.3986966289456	7.38401977136854	0	7.38401977136854
M_18_19	CARB_kcal_pct	94	48.5079865582918	7.32392104342696	51.4920134417082	58.8159344851352
M_18_19	PROT_kcal_pct	94	15.911696953077	4.91268947896443	35.5803164886312	40.4930059675956
M_18_19	TFAT_kcal_pct	94	35.5803164886312	5.79236884027671	0	5.79236884027671
M_20s	CARB_kcal_pct	280	48.7313610635267	7.55442473001265	51.2686389364734	58.823063666486
M_20s	PROT_kcal_pct	280	16.8410918658141	4.79178720013804	34.4275470706593	39.2193342707973
M_20s	TFAT_kcal_pct	280	34.4275470706593	6.18133338312788	0	6.18133338312788
M_30s	CARB_kcal_pct	311	48.3981329517266	8.63703299923286	51.6018670482734	60.2389000475063
M_30s	PROT_kcal_pct	311	16.3427465277363	4.55442221333114	35.2591205205371	39.8135427338682
M_30s	TFAT_kcal_pct	311	35.2591205205371	6.90785999388669	0	6.90785999388669
M_40s	CARB_kcal_pct	293	47.9738940667604	8.56538148690313	52.0261059332396	60.5914874201427
M_40s	PROT_kcal_pct	293	17.4871383649341	4.86342876069709	34.5389675683055	39.4023963290026
M_40s	TFAT_kcal_pct	293	34.5389675683055	7.61545848383235	0	7.61545848383235
M_50s	CARB_kcal_pct	305	47.4328930666383	8.64083245709939	52.5671069333617	61.2079393904611
M_50s	PROT_kcal_pct	305	16.6190630613116	4.30220986423474	35.9480438720501	40.2502537362848
M_50s	TFAT_kcal_pct	305	35.9480438720501	6.96485375336406	0	6.96485375336406
M_60s	CARB_kcal_pct	349	48.5319170974089	8.5783167117204	51.4680829025911	60.0463996143115
M_60s	PROT_kcal_pct	349	16.5938273957668	4.17543339918769	34.8742555068243	39.049688906012
M_60s	TFAT_kcal_pct	349	34.8742555068243	7.69910367547142	0	7.69910367547142
M_70s_80s	CARB_kcal_pct	359	48.1142884158494	8.6025084987989	51.8857115841506	60.4882200829495
M_70s_80s	PROT_kcal_pct	359	15.8616166041221	4.06570980953117	36.0240949800285	40.0898047895597
M_70s_80s	TFAT_kcal_pct	359	36.0240949800285	7.75778899963655	0	7.75778899963655
