Group	macronutrient	n	mean	sd
American	CARB	3	43.1983748743867	0.809942432667902
Japanese	CARB	3	37.5817444147534	0.377204535560447
Keto	CARB	3	14.8989886452797	1.12036332109949
Vegan	CARB	3	51.1266292836072	3.80750747647109
Vegetarian	CARB	3	47.5964384599427	8.95299301002911
American	PROT	3	15.3160276357033	2.58393409136889
Japanese	PROT	3	27.6827084995891	0.876246796202217
Keto	PROT	3	31.6603602032712	3.69482194982084
Vegan	PROT	3	10.7707459148851	1.02707186084351
Vegetarian	PROT	3	14.9554611072523	1.74721491466619
American	TFAT	3	41.48559748991	2.44232921089888
Japanese	TFAT	3	34.7355470856575	0.593996597722133
Keto	TFAT	3	53.4406511514491	2.73117335797355
Vegan	TFAT	3	38.1026248015077	3.40101305116973
Vegetarian	TFAT	3	37.448100432805	8.20866298598401
