FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, COWS, FLUID, WHOLE	Milk_cows_fluid_whole	Milk, cows, fluid, whole	0	11111000.0
11112110	MILK, COWS, FLUID, 2% FAT	Milk_cows_fluid_2_fat	Milk, cows, fluid, 2% fat	0	11112110.0
11112210	MILK, COWS, FLUID, 1% FAT	Milk_cows_fluid_1_fat	Milk, cows, fluid, 1% fat	0	11112210.0
11320000	MILK, SOY, READY-TO-DRINK, NOT BABY	Milk_soy_ready_to_drink_not_babys	Milk, soy, ready-to-drink, not babys	0	11320000.0
11411100	YOGURT, PLAIN, WHOLE MILK	Yogurt_plain_whole_milk	Yogurt, plain, whole milk	0	11411100.0
11411200	YOGURT, PLAIN, LOWFAT MILK	Yogurt_plain_lowfat_milk	Yogurt, plain, lowfat milk	0	11411200.0
11431000	YOGURT, FRUIT VARIETY, WHOLE MILK	Yogurt_fruit_variety_whole_milk	Yogurt, fruit variety, whole milk	0	11431000.0
12130100	CREAM, HEAVY, FLUID	Cream_heavy_fluid	Cream, heavy, fluid	0	12130100.0
14103020	CHEESE, BRIE	Cheese_Brie	Cheese, Brie	0	14103020.0
14104400	CHEESE, FETA (INCLUDE GOAT CHEESE)	Cheese_Feta	Cheese, Feta	0	14104400.0
14107020	CHEESE, MOZZARELLA, WHOLE MILK	Cheese_Mozzarella_whole_milk	Cheese, Mozzarella, whole milk	0	14107020.0
14107030	CHEESE, MOZZARELLA, PART SKIM (INCL LOWFAT)	Cheese_Mozzarella_part_skim	Cheese, Mozzarella, part skim	0	14107030.0
14108010	CHEESE, PARMESAN, DRY, GRATED (INCLUDE ROMANO)	Cheese_Parmesan_dry_grated	Cheese, Parmesan, dry grated	0	14108010.0
14109010	CHEESE, SWISS	Cheese_Swiss	Cheese, Swiss	0	14109010.0
14660200	CHEESE, NUGGETS, FRIED (INCL BANQUET BRAND)	Cheese_nuggets_or_pieces_breaded_baked_or_fried	Cheese, nuggets or pieces, breaded, baked, or fried	0	14660200.0
21101120	BEEF STEAK, BROILED OR BAKED, LEAN  FAT	Beef_steak_broiled_or_baked_lean_and_fat_eaten	Beef steak, broiled or baked, lean and fat eaten	0	21101120.0
21104110	BEEF STEAK, BATTERED, FRIED, NS AS TO FAT	Beef_steak_battered_fried_NS_as_to_fat_eaten	Beef steak, battered, fried, NS as to fat eaten	0	21104110.0
21105120	BEEF STEAK, BRAISED, LEAN  FAT	Beef_steak_braised_lean_and_fat_eaten	Beef steak, braised, lean and fat eaten	0	21105120.0
