FoodCode	DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, WHOLE	Milk_whole	Milk, whole	0	11111000.0
11112110	MILK, REDUCED FAT (2%)	Milk_reduced_fat_2_	Milk, reduced fat (2%)	0	11112110.0
11112210	MILK, LOW FAT (1%)	Milk_low_fat_1_	Milk, low fat (1%)	0	11112210.0
11113000	MILK, FAT FREE (SKIM)	Milk_fat_free_skim_	Milk, fat free (skim)	0	11113000.0
11114300	MILK, LACTOSE FREE, LOW FAT (1%)	Milk_lactose_free_low_fat_1_	Milk, lactose free, low fat (1%)	0	11114300.0
11114320	MILK, LACTOSE FREE, FAT FREE (SKIM)	Milk_lactose_free_fat_free_skim_	Milk, lactose free, fat free (skim)	0	11114320.0
11114330	MILK, LACTOSE FREE, REDUCED FAT (2%)	Milk_lactose_free_reduced_fat_2_	Milk, lactose free, reduced fat (2%)	0	11114330.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content	Milk, evaporated, NS as to fat content	0	11210050.0
11320100	SOY MILK, LIGHT	Soy_milk_light	Soy milk, light	0	11320100.0
11350000	ALMOND MILK, SWEETENED	Almond_milk_sweetened	Almond milk, sweetened	0	11350000.0
11350020	ALMOND MILK, UNSWEETENED	Almond_milk_unsweetened	Almond milk, unsweetened	0	11350020.0
11370000	COCONUT MILK	Coconut_milk	Coconut milk	0	11370000.0
11410000	YOGURT, NS AS TO TYPE OF MILK OR FLAVOR	Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt, NS as to type of milk or flavor	0	11410000.0
11411100	YOGURT, WHOLE MILK, PLAIN	Yogurt_whole_milk_plain	Yogurt, whole milk, plain	0	11411100.0
11411300	YOGURT, NONFAT MILK, PLAIN	Yogurt_nonfat_milk_plain	Yogurt, nonfat milk, plain	0	11411300.0
11411410	YOGURT, GREEK, LOW FAT MILK, PLAIN	Yogurt_Greek_low_fat_milk_plain	Yogurt, Greek, low fat milk, plain	0	11411410.0
11411420	YOGURT, GREEK, NONFAT MILK, PLAIN	Yogurt_Greek_nonfat_milk_plain	Yogurt, Greek, nonfat milk, plain	0	11411420.0
11430000	YOGURT, NS AS TO TYPE OF MILK, FRUIT	Yogurt_NS_as_to_type_of_milk_fruit	Yogurt, NS as to type of milk, fruit	0	11430000.0
11432000	YOGURT, LOW FAT MILK, FRUIT	Yogurt_low_fat_milk_fruit	Yogurt, low fat milk, fruit	0	11432000.0
11433000	YOGURT, NONFAT MILK, FRUIT	Yogurt_nonfat_milk_fruit	Yogurt, nonfat milk, fruit	0	11433000.0
11433990	YOGURT, GREEK, NS AS TO TYPE OF MILK, FRUIT	Yogurt_Greek_NS_as_to_type_of_milk_fruit	Yogurt, Greek, NS as to type of milk, fruit	0	11433990.0
11434010	YOGURT, GREEK, LOW FAT MILK, FRUIT	Yogurt_Greek_low_fat_milk_fruit	Yogurt, Greek, low fat milk, fruit	0	11434010.0
11435000	YOGURT, GREEK, NS AS TO TYPE OF MILK, FLAVORS OTHER THAN FRU	Yogurt_Greek_NS_as_to_type_of_milk_flavors_other_than_fruit	Yogurt, Greek, NS as to type of milk, flavors other than fruit	0	11435000.0
11435020	YOGURT, GREEK, LOW FAT MILK, FLAVORS OTHER THAN FRUIT	Yogurt_Greek_low_fat_milk_flavors_other_than_fruit	Yogurt, Greek, low fat milk, flavors other than fruit	0	11435020.0
11435030	YOGURT, GREEK, NONFAT MILK, FLAVORS OTHER THAN FRUIT	Yogurt_Greek_nonfat_milk_flavors_other_than_fruit	Yogurt, Greek, nonfat milk, flavors other than fruit	0	11435030.0
