DRXFCSD	Main.food.description	Old.Main.food.description	ModCode	FoodID
CEREAL (GENERAL MILLS CHEERIOS HONEY NUT)	Cereal_General_Mills_Cheerios_Honey_Nut_	Cereal (General Mills Cheerios Honey Nut)	0	57241000.0
MILK, REDUCED FAT (2_)	Milk_reduced_fat_2_	Milk, reduced fat (2_)	0	11112110.0
OATMEAL, INSTANT, MAPLE FLAVORED, FAT NOT ADDED IN COOKING	Oatmeal_instant_maple_flavored_fat_not_added_in_cooking	Oatmeal, instant, maple flavored, fat not added in cooking	0	56203130.0
APPLE JUICE, 100_	Apple_juice_100_	Apple juice, 100_	0	64104010.0
ORANGE, RAW	Orange_raw	Orange, raw	0	61119010.0
WATER, BOTTLED, UNSWEETENED	Water_bottled_unsweetened	Water, bottled, unsweetened	0	94100100.0
FRENCH OR CATALINA DRESSING	French_or_Catalina_dressing	French or Catalina dressing	0	83104000.0
LETTUCE, RAW	Lettuce_raw	Lettuce, raw	0	75113000.0
TOMATOES, RAW	Tomatoes_raw	Tomatoes, raw	0	74101000.0
APPLE JUICE, 100_	Apple_juice_100_	Apple juice, 100_	0	64104010.0
BANANA, RAW	Banana_raw	Banana, raw	0	63107010.0
COD, COOKED, NS AS TO COOKING METHOD	Cod_cooked_NS_as_to_cooking_method	Cod, cooked, NS as to cooking method	0	26109110.0
TARTAR SAUCE	Tartar_sauce	Tartar sauce	0	81302050.0
BREAD, WHEAT OR CRACKED WHEAT	Bread_wheat_or_cracked_wheat	Bread, wheat or cracked wheat	0	51301010.0
HAM, PREPACKAGED OR DELI, LUNCHEON MEAT	Ham_prepackaged_or_deli_luncheon_meat	Ham, prepackaged or deli, luncheon meat	0	25230210.0
MAYONNAISE, REGULAR	Mayonnaise_regular	Mayonnaise, regular	0	83107000.0
WATER, BOTTLED, UNSWEETENED	Water_bottled_unsweetened	Water, bottled, unsweetened	0	94100100.0
CHICKEN BREAST, SAUTEED, SKIN EATEN	Chicken_breast_sauteed_skin_eaten	Chicken breast, sauteed, skin eaten	0	24124200.0
CHICKEN WING, SAUTEED	Chicken_wing_sauteed	Chicken wing, sauteed	0	24164200.0
SALSA, RED, COMMERCIALLY-PREPARED	Salsa_red_commercially_prepared	Salsa, red, commercially-prepared	0	74402150.0
POTATO, MASHED, FROM FAST FOOD, WITH GRAVY	Potato_mashed_from_fast_food_with_gravy	Potato, mashed, from fast food, with gravy	0	71501006.0
BANANA, RAW	Banana_raw	Banana, raw	0	63107010.0
SOFT DRINK, FRUIT FLAVORED, CAFFEINE CONTAINING	Soft_drink_fruit_flavored_caffeine_containing	Soft drink, fruit flavored, caffeine containing	0	92410550.0
SWEET POTATO, BAKED, PEEL NOT EATEN, FAT NOT ADDED IN COOKIN	Sweet_potato_baked_peel_not_eaten_fat_not_added_in_cooking	Sweet potato, baked, peel not eaten, fat not added in cooking	0	73403010.0
PORK SAUSAGE	Pork_sausage	Pork sausage	0	25221405.0
BREAD, WHEAT OR CRACKED WHEAT	Bread_wheat_or_cracked_wheat	Bread, wheat or cracked wheat	0	51301010.0
MAYONNAISE, REGULAR	Mayonnaise_regular	Mayonnaise, regular	0	83107000.0
LETTUCE, RAW	Lettuce_raw	Lettuce, raw	0	75113000.0
TOMATOES, RAW	Tomatoes_raw	Tomatoes, raw	0	74101000.0
DOUGHNUT, CHOCOLATE, CAKE TYPE, WITH CHOCOLATE ICING	Doughnut_chocolate_cake_type_with_chocolate_icing	Doughnut, chocolate, cake type, with chocolate icing	0	53520160.0
GRAPE JUICE, 100_	Grape_juice_100_	Grape juice, 100_	0	64116020.0
MACARONI OR PASTA SALAD WITH MEAT	Macaroni_or_pasta_salad_with_meat	Macaroni or pasta salad with meat	0	58148550.0
MACARONI OR PASTA SALAD WITH CHEESE	Macaroni_or_pasta_salad_with_cheese	Macaroni or pasta salad with cheese	0	58148180.0
APPLE, RAW	Apple_raw	Apple, raw	0	63101000.0
MILK CHOCOLATE CANDY, PLAIN	Milk_chocolate_candy_plain	Milk chocolate candy, plain	0	91705010.0
CABBAGE SALAD OR COLESLAW, FROM FAST FOOD _ RESTAURANT	Cabbage_salad_or_coleslaw_from_fast_food_restaurant	Cabbage salad or coleslaw, from fast food _ restaurant	0	75140990.0
SOFT DRINK, FRUIT FLAVORED, DIET, CAFFEINE FREE	Soft_drink_fruit_flavored_diet_caffeine_free	Soft drink, fruit flavored, diet, caffeine free	0	92410520.0
SWEET POTATO, BAKED, PEEL NOT EATEN, FAT NOT ADDED IN COOKIN	Sweet_potato_baked_peel_not_eaten_fat_not_added_in_cooking	Sweet potato, baked, peel not eaten, fat not added in cooking	0	73403010.0
WINE, TABLE, RED	Wine_table_red	Wine, table, red	0	93401010.0
BEER, LIGHT	Beer_light	Beer, light	0	93102000.0
MILK SHAKE, FAST FOOD, FLAVORS OTHER THAN CHOCOLATE	Milk_shake_fast_food_flavors_other_than_chocolate	Milk shake, fast food, flavors other than chocolate	0	11542200.0
CORN, YELLOW, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING	Corn_yellow_cooked_from_fresh_fat_not_added_in_cooking	Corn, yellow, cooked, from fresh, fat not added in cooking	0	75216111.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
CREAM, LIGHT	Cream_light	Cream, light	0	12110100.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
EGG WHITE, OMELET, SCRAMBLED, OR FRIED, WITH CHEESE, MEAT, A	Egg_white_omelet_scrambled_or_fried_with_cheese_meat_and_vegetables_fat_not_added_in_cooking	Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables, fat not added in cooking	0	32400710.0
CHEESE, COLBY	Cheese_Colby	Cheese, Colby	0	14104200.0
MUFFIN, ENGLISH	Muffin_English	Muffin, English	0	51186010.0
ICE CREAM, REGULAR, FLAVORS OTHER THAN CHOCOLATE	Ice_cream_regular_flavors_other_than_chocolate	Ice cream, regular, flavors other than chocolate	0	13110100.0
BEEF STROGANOFF WITH NOODLES	Beef_stroganoff_with_noodles	Beef stroganoff with noodles	0	27212350.0
BANANA, RAW	Banana_raw	Banana, raw	0	63107010.0
WINE, TABLE, WHITE	Wine_table_white	Wine, table, white	0	93401020.0
CREAM, HALF AND HALF	Cream_half_and_half	Cream, half and half	0	12120100.0
CAKE, POUND, WITH ICING OR FILLING	Cake_pound_with_icing_or_filling	Cake, pound, with icing or filling	0	53116020.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
CREAM, HALF AND HALF	Cream_half_and_half	Cream, half and half	0	12120100.0
RICE, WHITE, COOKED, GLUTINOUS	Rice_white_cooked_glutinous	Rice, white, cooked, glutinous	0	56205190.0
CUCUMBER AND VEGETABLE NAMASU	Cucumber_and_vegetable_namasu	Cucumber and vegetable namasu	0	75142000.0
MACARONI OR PASTA SALAD, MADE WITH MAYONNAISE	Macaroni_or_pasta_salad_made_with_mayonnaise	Macaroni or pasta salad, made with mayonnaise	0	58148110.0
CHEESE, COTTAGE, CREAMED, LARGE OR SMALL CURD	Cheese_cottage_creamed_large_or_small_curd	Cheese, cottage, creamed, large or small curd	0	14201010.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
BEEF WITH VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_OR DAR	Beef_with_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_potatoes_tomato_based_sauce	Beef with vegetables including carrots, broccoli, and_or dark-green leafy; no potatoes, tomato-based sauce	0	27411100.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
COFFEE CREAMER,POWDER, SUGAR FREE, FLAVORED	Coffee_creamer_powder_sugar_free_flavored	Coffee creamer,powder, sugar free, flavored	0	12210505.0
CEREAL (KELLOGG_S FROSTED MINI-WHEATS)	Cereal_Kellogg_s_Frosted_Mini_Wheats_	Cereal (Kellogg_s Frosted Mini-Wheats)	0	57214000.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
CHEESE SANDWICH, AMERICAN CHEESE, ON WHOLE WHEAT BREAD, WITH	Cheese_sandwich_American_cheese_on_whole_wheat_bread_with_mayonnaise	Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise	0	14640030.0
CORN CHIPS, PLAIN	Corn_chips_plain	Corn chips, plain	0	54401021.0
MILK, WHOLE	Milk_whole	Milk, whole	0	11111000.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
BEEF STEAK, BREADED OR FLOURED, BAKED OR FRIED, NS AS TO FAT	Beef_steak_breaded_or_floured_baked_or_fried_NS_as_to_fat_eaten	Beef steak, breaded or floured, baked or fried, NS as to fat eaten	0	21103110.0
FLAVORED RICE AND PASTA MIXTURE	Flavored_rice_and_pasta_mixture	Flavored rice and pasta mixture	0	58163380.0
CREAMY DRESSING	Creamy_dressing	Creamy dressing	0	83112500.0
CEREAL (KELLOGG_S FROSTED MINI-WHEATS)	Cereal_Kellogg_s_Frosted_Mini_Wheats_	Cereal (Kellogg_s Frosted Mini-Wheats)	0	57214000.0
MILK, REDUCED FAT (2_)	Milk_reduced_fat_2_	Milk, reduced fat (2_)	0	11112110.0
COFFEE, BREWED	Coffee_brewed	Coffee, brewed	0	92101000.0
COFFEE CREAMER,POWDER, SUGAR FREE, FLAVORED	Coffee_creamer_powder_sugar_free_flavored	Coffee creamer,powder, sugar free, flavored	0	12210505.0
SPORTS DRINK (GATORADE G)	Sports_drink_Gatorade_G_	Sports drink (Gatorade G)	0	95320200.0
WATER, TAP	Water_tap	Water, tap	0	94000100.0
