#FOODID	VVKAJ113	VVKAJ101	VVKAJ108	VVKAJ110	VVKAJ115	VVKAJ106	VVKAJ111	VVKAJ103	VVKAJ112	VVKAJ102	VVKAJ104	VVKAJ109	VVKAJ114	VVKAJ105	VVKAJ107	taxonomy
Milk NFS	26.5228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_;Milk_NFS
Milk cows fluid whole	0	21.7221	57.9256	23.17024	49.23676	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_cows_fluid_whole
Milk cows fluid 2 fat	26.3276	0	92.1466	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_cows_fluid_2_fat
Milk cows fluid 1 fat	32.58864	6.1488	0	0	0	24.5952	16.9092	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid;L4_Milk_fluid_cow_goat_buttermilk;Milk_cows_fluid_1_fat
Milk soy ready to drink not babys	0	0	0	0	0	0	0	24.69768	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_soy;Milk_soy_ready_to_drink_not_babys
Milk almond ready to drink	0	0	0	0	0	0	0	0	27.0108	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_fluid_imitation;L4_Milk_almond;Milk_almond_ready_to_drink
Yogurt plain whole milk	0	44.50425	0	0	0	0	0	0	0	0	3.7086875	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;Yogurt_plain_whole_milk
Yogurt plain lowfat milk	0	0	0	18.3015	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_plain;Yogurt_plain_lowfat_milk
Yogurt fruit variety whole milk	0	0	0	0	0	23.275	0	0	0	0	21.47	0	0	0	0	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Yogurt;L4_Yogurt_fruit_variety;Yogurt_fruit_variety_whole_milk
Cream heavy fluid	0	0	0	0	0	0	0	0	0	0	0	19.036128	0	0	0	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_Cream_heavy;Cream_heavy_fluid
Cheese Brie	0	0	0	0	0	0	0	8.7686	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Brie
Cheese Feta	25.39026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Feta
Cheese Mozzarella whole milk	16.4967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Mozzarella_whole_milk
Cheese Mozzarella part skim	0	0	15.005655	0	0	0	0	0	0	0	0	0	0	0	0	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_Natural_cheeses;Cheese_Mozzarella_part_skim
