FoodCode	Main.food.description	ModCode	Old.Main.food.description	FoodID
11100000	Milk_NFS	0	Milk, NFS	11100000.0
11111000	Milk_cows_fluid_whole	0	Milk, cows, fluid, whole	11111000.0
11112110	Milk_cows_fluid_2_fat	0	Milk, cows, fluid, 2% fat	11112110.0
11112210	Milk_cows_fluid_1_fat	0	Milk, cows, fluid, 1% fat	11112210.0
11320000	Milk_soy_ready_to_drink_not_babys	0	Milk, soy, ready-to-drink, not babys	11320000.0
11350000	Milk_almond_ready_to_drink	0	Milk, almond, ready-to-drink	11350000.0
11411100	Yogurt_plain_whole_milk	0	Yogurt, plain, whole milk	11411100.0
11411200	Yogurt_plain_lowfat_milk	0	Yogurt, plain, lowfat milk	11411200.0
11431000	Yogurt_fruit_variety_whole_milk	0	Yogurt, fruit variety, whole milk	11431000.0
12130100	Cream_heavy_fluid	0	Cream, heavy, fluid	12130100.0
14103020	Cheese_Brie	0	Cheese, Brie	14103020.0
14104400	Cheese_Feta	0	Cheese, Feta	14104400.0
14107020	Cheese_Mozzarella_whole_milk	0	Cheese, Mozzarella, whole milk	14107020.0
14107030	Cheese_Mozzarella_part_skim	0	Cheese, Mozzarella, part skim	14107030.0
14108010	Cheese_Parmesan_dry_grated	0	Cheese, Parmesan, dry grated	14108010.0
14109010	Cheese_Swiss	0	Cheese, Swiss	14109010.0
14410110	Cheese_American	0	Cheese, American	14410110.0
14660200	Cheese_nuggets_or_pieces_breaded_baked_or_fried	0	Cheese, nuggets or pieces, breaded, baked, or fried	14660200.0
21101120	Beef_steak_broiled_or_baked_lean_and_fat_eaten	0	Beef steak, broiled or baked, lean and fat eaten	21101120.0
21104110	Beef_steak_battered_fried_NS_as_to_fat_eaten	0	Beef steak, battered, fried, NS as to fat eaten	21104110.0
21105120	Beef_steak_braised_lean_and_fat_eaten	0	Beef steak, braised, lean and fat eaten	21105120.0
21416000	Corned_beef_cooked_NS_as_to_fat_eaten	0	Corned beef, cooked, NS as to fat eaten	21416000.0
21602100	Beef_jerky	0	Beef jerky	21602100.0
22101520	Pork_chop_stewed_lean_only_eaten	0	Pork chop, stewed, lean only eaten	22101520.0
22107020	Pork_chop_smoked_or_cured_cooked_lean_only_eaten	0	Pork chop, smoked or cured, cooked, lean only eaten	22107020.0
22600200	Pork_bacon_NS_as_to_fresh_smoked_or_cured_cooked	0	Pork bacon, NS as to fresh, smoked or cured, cooked	22600200.0
22701040	Pork_spareribs_barbecued_with_sauce_lean_and_fat_eaten	0	Pork, spareribs, barbecued, with sauce, lean and fat eaten	22701040.0
24100000	Chicken_NS_as_to_part_and_cooking_method_NS_as_to_skin_eaten	0	Chicken, NS as to part and cooking method, NS as to skin eaten	24100000.0
25210110	Frankfurter_wiener_or_hot_dog_NFS	0	Frankfurter, wiener, or hot dog, NFS	25210110.0
25221405	Pork_sausage	0	Pork sausage	25221405.0
26100100	Fish_NS_as_to_type_raw	0	Fish, NS as to type, raw	26100100.0
26100120	Fish_NS_as_to_type_baked_or_broiled_made_with_oil	0	Fish, NS as to type, baked or broiled, made with oil	26100120.0
26100160	Fish_NS_as_to_type_steamed	0	Fish, NS as to type, steamed	26100160.0
26115160	Flounder_steamed_or_poached	0	Flounder, steamed or poached	26115160.0
26121120	Mackerel_baked_or_broiled_fat_added_in_cooking	0	Mackerel, baked or broiled, fat added in cooking	26121120.0
26121121	Mackerel_baked_or_broiled_fat_not_added_in_cooking	0	Mackerel, baked or broiled, fat not added in cooking	26121121.0
26137110	Salmon_cooked_NS_as_to_cooking_method	0	Salmon, cooked, NS as to cooking method	26137110.0
26137120	Salmon_baked_or_broiled_made_with_oil	0	Salmon, baked or broiled, made with oil	26137120.0
26137121	Salmon_baked_or_broiled_made_with_butter	0	Salmon, baked or broiled, made with butter	26137121.0
26151121	Trout_baked_or_broiled_made_with_butter	0	Trout, baked or broiled, made with butter	26151121.0
26151190	Trout_smoked	0	Trout, smoked	26151190.0
26153100	Tuna_fresh_raw	0	Tuna, fresh, raw	26153100.0
26153120	Tuna_fresh_baked_or_broiled_fat_added_in_cooking	0	Tuna, fresh, baked or broiled, fat added in cooking	26153120.0
26205160	Octopus_steamed	0	Octopus, steamed	26205160.0
26303160	Clams_steamed_or_boiled	0	Clams, steamed or boiled	26303160.0
26317120	Scallops_baked_or_broiled_fat_added_in_cooking	0	Scallops, baked or broiled, fat added in cooking	26317120.0
26317130	Scallops_steamed_or_boiled	0	Scallops, steamed or boiled	26317130.0
26319120	Shrimp_baked_or_broiled_made_with_oil	0	Shrimp, baked or broiled, made with oil	26319120.0
27214110	Meat_loaf_made_with_beef_with_tomato_based_sauce	0	Meat loaf made with beef, with tomato-based sauce	27214110.0
27260100	Meat_loaf_made_with_beef_and_pork_with_tomato_based_sauce	0	Meat loaf made with beef and pork, with tomato-based sauce	27260100.0
27345320	Chicken_or_turkey_rice_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_soy_based_sauce_mixture_	0	Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)	27345320.0
27410250	Beef_shish_kabob_with_vegetables_excluding_potatoes	0	Beef shish kabob with vegetables, excluding potatoes	27410250.0
27415200	Beef_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_	0	Beef and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce (mixture)	27415200.0
27440120	Chicken_or_turkey_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_no_sauce_mixture_	0	Chicken or turkey and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), no sauce (mixture)	27440120.0
27445110	Chicken_or_turkey_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_	0	Chicken or turkey and vegetables (including carrots, broccoli, andor dark-green leafy (no potatoes)), soy-based sauce (mixture)	27445110.0
27445120	Chicken_or_turkey_and_vegetables_excluding_carrots_broccoli_and_dark_green_leafy_no_potatoes_soy_based_sauce_mixture_	0	Chicken or turkey and vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), soy-based sauce (mixture)	27445120.0
28310110	Beef_broth_bouillon_or_consomme	0	Beef, broth, bouillon, or consomme	28310110.0
28340110	Chicken_or_turkey_broth_bouillon_or_consomme	0	Chicken or turkey broth, bouillon, or consomme	28340110.0
28350050	Fish_chowder	0	Fish chowder	28350050.0
28355450	Seafood_soup_with_potatoes_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_	0	Seafood soup with potatoes and vegetables (including carrots, broccoli, andor dark-green leafy)	28355450.0
31103010	Egg_whole_boiled_or_poached	0	Egg, whole, boiled or poached	31103010.0
31105030	Egg_whole_fried_with_oil	0	Egg, whole, fried with oil	31105030.0
31106020	Egg_whole_baked_fat_added_in_cooking	0	Egg, whole, baked, fat added in cooking	31106020.0
32103000	Egg_salad_made_with_mayonnaise	0	Egg salad, made with mayonnaise	32103000.0
32130010	Egg_omelet_or_scrambled_egg_made_with_oil	0	Egg omelet or scrambled egg, made with oil	32130010.0
32130020	Egg_omelet_or_scrambled_egg_made_with_butter	0	Egg omelet or scrambled egg, made with butter	32130020.0
32130310	Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_with_oil	0	Egg omelet or scrambled egg, with cheese and meat, made with oil	32130310.0
32130690	Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green_andor_tomatoes_fat_added_in_cooking	0	Egg omelet or scrambled egg, with cheese and vegetables other than dark green andor tomatoes, fat added in cooking	32130690.0
32131030	Egg_omelet_or_scrambled_egg_with_cheese_meat_and_dark_green_vegetables_fat_added_in_cooking	0	Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added in cooking	32131030.0
41101120	White_beans_dry_cooked_fat_not_added_in_cooking	0	White beans, dry, cooked, fat not added in cooking	41101120.0
